target_1,target_2,pearson,spearman,n_pair_valid,abs_spearman
S2,S4,0.4782824077147685,0.47828240771476843,450,0.47828240771476843
S2,S3,0.39402250407091116,0.39402250407091083,450,0.39402250407091083
S1,S2,0.3816084277893241,0.3816084277893237,450,0.3816084277893237
Q1,S1,0.3614444298659198,0.3614444298659197,450,0.3614444298659197
Q2,Q3,0.34012922174108096,0.3401292217410809,450,0.3401292217410809
Q1,Q2,0.1220597798558293,0.12205977985582926,450,0.12205977985582926
Q1,S3,-0.11911987546652753,-0.11911987546652736,450,0.11911987546652736
S1,S3,0.11804531301889211,0.11804531301889204,450,0.11804531301889204
S1,S4,0.10653252046740311,0.10653252046740302,450,0.10653252046740302
Q1,Q3,0.10161247780374835,0.10161247780374834,450,0.10161247780374834
