sensor_name,dtype,column_count
mACStatus,datetime64[ns],1
mACStatus,int64,1
mACStatus,str,1
mActivity,datetime64[ns],1
mActivity,int64,1
mActivity,str,1
mAmbience,datetime64[ns],1
mAmbience,object,1
mAmbience,str,1
mBle,datetime64[ns],1
mBle,object,1
mBle,str,1
mGps,datetime64[ns],1
mGps,object,1
mGps,str,1
mLight,datetime64[ns],1
mLight,float64,1
mLight,str,1
mScreenStatus,datetime64[ns],1
mScreenStatus,int64,1
mScreenStatus,str,1
mUsageStats,datetime64[ns],1
mUsageStats,object,1
mUsageStats,str,1
mWifi,datetime64[ns],1
mWifi,object,1
mWifi,str,1
wHr,datetime64[ns],1
wHr,object,1
wHr,str,1
wLight,datetime64[ns],1
wLight,float64,1
wLight,str,1
wPedo,datetime64[ns],1
wPedo,float64,4
wPedo,int64,3
wPedo,str,1
