sensor_name,raw_file_stem,file_name,row_count,col_count,subject_count_sample,timestamp_col,timestamp_min_sample,timestamp_max_sample,processing_type,priority,sampling_frequency_est,value_columns
mACStatus,ch2025_mACStatus,ch2025_mACStatus.parquet,939896,3,1,timestamp,2024-06-26 12:03:00,2024-06-30 02:38:00,discrete,high-priority,approx_1min,m_charging
mActivity,ch2025_mActivity,ch2025_mActivity.parquet,961062,3,1,timestamp,2024-06-26 12:03:00,2024-06-29 23:28:00,discrete,high-priority,approx_1min,m_activity
mAmbience,ch2025_mAmbience,ch2025_mAmbience.parquet,476577,3,1,timestamp,2024-06-26 13:00:10,2024-07-03 13:26:10,object/list,low-priority/high-noise,approx_2min,m_ambience
mBle,ch2025_mBle,ch2025_mBle.parquet,21830,3,3,timestamp,2024-06-26 12:13:00,2024-10-15 22:54:00,object/list,low-priority/high-noise,approx_10min,m_ble
mGps,ch2025_mGps,ch2025_mGps.parquet,800611,3,1,timestamp,2024-06-26 12:03:00,2024-06-29 23:55:00,object/list,low-priority/high-noise,approx_1min,m_gps
mLight,ch2025_mLight,ch2025_mLight.parquet,96258,3,1,timestamp,2024-06-26 12:03:00,2024-08-08 04:47:00,continuous,high-priority,approx_10min,m_light
mScreenStatus,ch2025_mScreenStatus,ch2025_mScreenStatus.parquet,939653,3,1,timestamp,2024-06-26 12:03:00,2024-06-30 00:38:00,discrete,high-priority,approx_1min,m_screen_use
mUsageStats,ch2025_mUsageStats,ch2025_mUsageStats.parquet,45197,3,1,timestamp,2024-06-26 13:00:00,2024-09-08 10:00:00,object/list,high-priority,approx_10min,m_usage_stats
mWifi,ch2025_mWifi,ch2025_mWifi.parquet,76336,3,1,timestamp,2024-06-26 12:03:00,2024-08-18 16:13:00,object/list,low-priority/high-noise,approx_10min,m_wifi
wHr,ch2025_wHr,ch2025_wHr.parquet,382918,3,1,timestamp,2024-06-26 12:23:00,2024-07-06 16:24:00,object/list,high-priority,approx_1min,heart_rate
wLight,ch2025_wLight,ch2025_wLight.parquet,633741,3,1,timestamp,2024-06-26 12:17:00,2024-07-03 14:35:00,continuous,high-priority,approx_1min,w_light
wPedo,ch2025_wPedo,ch2025_wPedo.parquet,748100,9,1,timestamp,2024-06-26 12:09:00,2024-06-30 07:01:00,continuous/multi-value,high-priority,approx_1min,"step, step_frequency, running_step, walking_step, distance, speed, burned_calories"
