split,subject_id,lifelog_date,sensor,row_count,present,missing
train,id01,2024-06-26,ch2025_mACStatus,681,1,0
train,id01,2024-06-26,ch2025_mActivity,711,1,0
train,id01,2024-06-26,ch2025_mAmbience,304,1,0
train,id01,2024-06-26,ch2025_mBle,34,1,0
train,id01,2024-06-26,ch2025_mGps,707,1,0
train,id01,2024-06-26,ch2025_mLight,73,1,0
train,id01,2024-06-26,ch2025_mScreenStatus,711,1,0
train,id01,2024-06-26,ch2025_mUsageStats,46,1,0
train,id01,2024-06-26,ch2025_mWifi,69,1,0
train,id01,2024-06-26,ch2025_wHr,530,1,0
train,id01,2024-06-26,ch2025_wLight,318,1,0
train,id01,2024-06-26,ch2025_wPedo,643,1,0
train,id01,2024-06-27,ch2025_mACStatus,1400,1,0
train,id01,2024-06-27,ch2025_mActivity,1440,1,0
train,id01,2024-06-27,ch2025_mAmbience,720,1,0
train,id01,2024-06-27,ch2025_mBle,55,1,0
train,id01,2024-06-27,ch2025_mGps,1439,1,0
train,id01,2024-06-27,ch2025_mLight,144,1,0
train,id01,2024-06-27,ch2025_mScreenStatus,1430,1,0
train,id01,2024-06-27,ch2025_mUsageStats,93,1,0
train,id01,2024-06-27,ch2025_mWifi,126,1,0
train,id01,2024-06-27,ch2025_wHr,654,1,0
train,id01,2024-06-27,ch2025_wLight,833,1,0
train,id01,2024-06-27,ch2025_wPedo,1345,1,0
train,id01,2024-06-28,ch2025_mACStatus,1420,1,0
train,id01,2024-06-28,ch2025_mActivity,1440,1,0
train,id01,2024-06-28,ch2025_mAmbience,710,1,0
train,id01,2024-06-28,ch2025_mBle,57,1,0
train,id01,2024-06-28,ch2025_mGps,1418,1,0
train,id01,2024-06-28,ch2025_mLight,144,1,0
train,id01,2024-06-28,ch2025_mScreenStatus,1420,1,0
train,id01,2024-06-28,ch2025_mUsageStats,85,1,0
train,id01,2024-06-28,ch2025_mWifi,118,1,0
train,id01,2024-06-28,ch2025_wHr,712,1,0
train,id01,2024-06-28,ch2025_wLight,869,1,0
train,id01,2024-06-28,ch2025_wPedo,1358,1,0
train,id01,2024-06-29,ch2025_mACStatus,1340,1,0
train,id01,2024-06-29,ch2025_mActivity,1440,1,0
train,id01,2024-06-29,ch2025_mAmbience,720,1,0
train,id01,2024-06-29,ch2025_mBle,42,1,0
train,id01,2024-06-29,ch2025_mGps,1440,1,0
train,id01,2024-06-29,ch2025_mLight,144,1,0
train,id01,2024-06-29,ch2025_mScreenStatus,1400,1,0
train,id01,2024-06-29,ch2025_mUsageStats,67,1,0
train,id01,2024-06-29,ch2025_mWifi,134,1,0
train,id01,2024-06-29,ch2025_wHr,4,1,0
train,id01,2024-06-29,ch2025_wLight,488,1,0
train,id01,2024-06-29,ch2025_wPedo,1232,1,0
train,id01,2024-06-30,ch2025_mACStatus,1400,1,0
train,id01,2024-06-30,ch2025_mActivity,1440,1,0
train,id01,2024-06-30,ch2025_mAmbience,720,1,0
train,id01,2024-06-30,ch2025_mBle,38,1,0
