subject_id,lifelog_date,mACStatus_m_charging_value_0_count,mACStatus_m_charging_value_1_count,mActivity_m_activity_value_0_count,mActivity_m_activity_value_1_count,mActivity_m_activity_value_3_count,mActivity_m_activity_value_4_count,mActivity_m_activity_value_7_count,mActivity_m_activity_value_8_count,mAmbience_m_ambience_object_len_mean,mAmbience_m_ambience_object_len_max,mAmbience_m_ambience_object_len_sum,mAmbience_m_ambience_object_len_count,mBle_m_ble_object_len_mean,mBle_m_ble_object_len_max,mBle_m_ble_object_len_sum,mBle_m_ble_object_len_count,mGps_m_gps_object_len_mean,mGps_m_gps_object_len_max,mGps_m_gps_object_len_sum,mGps_m_gps_object_len_count,mLight_m_light_mean,mLight_m_light_std,mLight_m_light_min,mLight_m_light_max,mLight_m_light_sum,mLight_m_light_median,mLight_m_light_count,mScreenStatus_m_screen_use_value_0_count,mScreenStatus_m_screen_use_value_1_count,mUsageStats_m_usage_stats_object_len_mean,mUsageStats_m_usage_stats_object_len_max,mUsageStats_m_usage_stats_object_len_sum,mUsageStats_m_usage_stats_object_len_count,mWifi_m_wifi_object_len_mean,mWifi_m_wifi_object_len_max,mWifi_m_wifi_object_len_sum,mWifi_m_wifi_object_len_count,wHr_heart_rate_object_len_mean,wHr_heart_rate_object_len_max,wHr_heart_rate_object_len_sum,wHr_heart_rate_object_len_count,wLight_w_light_mean,wLight_w_light_std,wLight_w_light_min,wLight_w_light_max,wLight_w_light_sum,wLight_w_light_median,wLight_w_light_count,wPedo_step_mean,wPedo_step_std,wPedo_step_min,wPedo_step_max,wPedo_step_sum,wPedo_step_median,wPedo_step_count,wPedo_step_frequency_mean,wPedo_step_frequency_std,wPedo_step_frequency_min,wPedo_step_frequency_max,wPedo_step_frequency_sum,wPedo_step_frequency_median,wPedo_step_frequency_count,wPedo_running_step_mean,wPedo_running_step_std,wPedo_running_step_min,wPedo_running_step_max,wPedo_running_step_sum,wPedo_running_step_median,wPedo_running_step_count,wPedo_walking_step_mean,wPedo_walking_step_std,wPedo_walking_step_min,wPedo_walking_step_max,wPedo_walking_step_sum,wPedo_walking_step_median,wPedo_walking_step_count,wPedo_distance_mean,wPedo_distance_std,wPedo_distance_min,wPedo_distance_max,wPedo_distance_sum,wPedo_distance_median,wPedo_distance_count,wPedo_speed_mean,wPedo_speed_std,wPedo_speed_min,wPedo_speed_max,wPedo_speed_sum,wPedo_speed_median,wPedo_speed_count,wPedo_burned_calories_mean,wPedo_burned_calories_std,wPedo_burned_calories_min,wPedo_burned_calories_max,wPedo_burned_calories_sum,wPedo_burned_calories_median,wPedo_burned_calories_count
id01,2024-06-26,534.0,147.0,89.0,1.0,478.0,112.0,31.0,0.0,10.0,10,3040,304,30.823529411764707,116.0,1048.0,34.0,8.51060820367751,16.0,6017.0,707.0,364.5068493150685,395.6594398135174,0.0,1886.0,26609.0,307.0,73,501.0,210.0,4.456521739130435,11.0,205.0,46.0,13.869565217391305,57.0,957.0,69.0,59.63962264150943,60.0,31609.0,530.0,299.41509433962267,1222.0355429211577,0.0,20874.0,95214.0,146.5,318.0,5.564541213063763,17.87190800827279,0.0,119.0,3578.0,0.0,643.0,0.09274235355106272,0.297865133471213,0.0,1.9833333333333334,59.63333333333333,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,4.3268896788126945,13.908274853032415,0.0,95.293212890625,2782.1900634765625,0.0,643.0,0.07211482798021157,0.23180458088387376,0.0,1.58822021484375,46.369834391276044,0.0,643.0,0.29443088549292107,2.2447921078217434,0.0,54.24000930786133,189.31905937194824,0.0,643.0
id01,2024-06-27,1178.0,222.0,211.0,0.0,880.0,318.0,31.0,0.0,10.0,10,7200,720,19.854545454545455,88.0,1092.0,55.0,8.251563585823488,19.0,11874.0,1439.0,332.06944444444446,1300.5356812024834,0.0,11248.0,47818.0,95.0,144,907.0,523.0,4.67741935483871,12.0,435.0,93.0,9.079365079365079,53.0,1144.0,126.0,25.551987767584098,60.0,16711.0,654.0,242.54861944777912,931.9408706539953,0.0,12464.0,202043.0,57.0,833.0,2.307806691449814,10.549365531507853,0.0,97.0,3104.0,0.0,1345.0,0.038463444857496906,0.17582275885846418,0.0,1.6166666666666667,51.733333333333334,0.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.0,1.7794591513708178,8.165688123591442,0.0,77.43994140625,2393.37255859375,0.0,1345.0,0.029657652522846967,0.13609480205985736,0.0,1.2906656901041667,39.88954264322917,0.0,1345.0,0.21486303620178904,3.9301734623678874,0.0,105.16011047363281,288.99078369140625,0.0,1345.0
id01,2024-06-28,1164.0,256.0,161.0,1.0,1241.0,1.0,36.0,0.0,10.0,10,7100,710,21.17543859649123,46.0,1207.0,57.0,8.19675599435825,19.0,11623.0,1418.0,219.20138888888889,260.6829003665412,0.0,1834.0,31565.0,146.0,144,966.0,454.0,4.811764705882353,12.0,409.0,85.0,9.279661016949152,40.0,1095.0,118.0,32.037921348314605,60.0,22811.0,712.0,419.02761795166856,3391.4971343936645,0.0,91584.0,364135.0,46.0,869.0,3.0581737849779085,14.423952594666826,0.0,131.0,4153.0,0.0,1358.0,0.050969563082965144,0.2403992099111136,0.0,2.183333333333333,69.21666666666667,0.0,1358.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,2.3707428189194784,11.227299197225115,0.0,101.530029296875,3219.4687480926514,0.0,1358.0,0.039512380315324634,0.1871216532870853,0.0,1.6921671549479167,53.65781246821086,0.0,1358.0,0.0958096162033362,0.4807077133833786,0.0,4.110078811645508,130.10945880413055,0.0,1358.0
id01,2024-06-29,956.0,384.0,95.0,0.0,1320.0,0.0,25.0,0.0,10.0,10,7200,720,5.0,34.0,210.0,42.0,8.015972222222222,19.0,11543.0,1440.0,91.41666666666667,312.06520521790367,0.0,3498.0,13164.0,27.5,144,1067.0,333.0,4.641791044776119,11.0,311.0,67.0,10.111940298507463,55.0,1355.0,134.0,3.5,5.0,14.0,4.0,66.32991803278688,112.29873516795196,0.0,374.0,32369.0,17.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0
id01,2024-06-30,1198.0,202.0,199.0,0.0,1229.0,0.0,12.0,0.0,10.0,10,7200,720,14.736842105263158,70.0,560.0,38.0,8.754861111111111,20.0,12607.0,1440.0,98.90972222222223,300.4481480971836,0.0,2691.0,14243.0,1.0,144,1107.0,313.0,5.383561643835616,13.0,393.0,73.0,10.435185185185185,27.0,1127.0,108.0,45.93411764705883,60.0,19522.0,425.0,157.93245227606462,448.6293716172114,0.0,5425.0,107552.0,28.0,681.0,2.2941176470588234,10.252014223883,0.0,108.0,3003.0,0.0,1309.0,0.038235294117647055,0.17086690373138316,0.0,1.8,50.05,0.0,1309.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,1.7807382193114396,8.039048131749578,0.0,87.97979736328125,2330.9863290786743,0.0,1309.0,0.02967897032185732,0.13398413552915953,0.0,1.4663299560546874,38.849772151311235,0.0,1309.0,0.08006853479934704,0.38474038696152246,0.0,4.579998016357422,104.80971205234528,0.0,1309.0
id01,2024-07-01,1161.0,234.0,153.0,5.0,1233.0,8.0,36.0,0.0,10.0,10,7020,702,21.25,99.0,1105.0,52.0,8.593137254901961,19.0,12271.0,1428.0,193.23611111111111,291.7256587028469,0.0,1632.0,27826.0,44.0,144,991.0,404.0,4.846153846153846,12.0,441.0,91.0,9.551724137931034,34.0,1108.0,116.0,58.97872340425532,60.0,30492.0,517.0,315.3582474226804,1142.242006111419,0.0,16519.0,244718.0,92.0,776.0,2.5802377414561666,12.6584480900119,0.0,120.0,3473.0,0.0,1346.0,0.043003962357602774,0.21097413483353183,0.0,2.0,57.88333333333333,0.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,1346.0,2.0192358235193395,9.924097050794373,0.0,94.599609375,2717.8914184570312,0.0,1346.0,0.033653930391988995,0.16540161751323948,0.0,1.57666015625,45.29819030761719,0.0,1346.0,0.09032621406251219,0.44251493573847883,0.0,4.029914855957031,121.5790841281414,0.0,1346.0
id01,2024-07-02,1166.0,264.0,113.0,0.0,1260.0,0.0,67.0,0.0,10.0,10,7200,720,18.382978723404257,56.0,864.0,47.0,8.573119777158775,19.0,12311.0,1436.0,161.41666666666666,200.0353290474782,0.0,652.0,23244.0,21.0,144,1011.0,399.0,4.593023255813954,13.0,395.0,86.0,11.710526315789474,61.0,1335.0,114.0,27.71376146788991,60.0,15104.0,545.0,183.21151079136692,744.8179456763949,0.0,11934.0,127332.0,17.0,695.0,5.231085526315789,20.309418540529606,0.0,172.0,6361.0,0.0,1216.0,0.08718475877192983,0.33849030900882676,0.0,2.8666666666666667,106.01666666666667,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,4.04268405311986,15.690880514194914,0.0,131.780029296875,4915.90380859375,0.0,1216.0,0.06737806755199767,0.2615146752365817,0.0,2.196333821614583,81.93173014322917,0.0,1216.0,0.17607711052129926,0.6798063378043178,0.0,4.6696929931640625,214.10976639389992,0.0,1216.0
id01,2024-07-03,1023.0,367.0,110.0,0.0,1239.0,0.0,91.0,0.0,10.0,10,7200,720,22.321428571428573,71.0,1250.0,56.0,7.852675469075747,20.0,11300.0,1439.0,293.3541666666667,772.8489975341306,0.0,6975.0,42243.0,164.0,144,1031.0,399.0,4.615384615384615,11.0,420.0,91.0,9.683823529411764,80.0,1317.0,136.0,37.390625,60.0,23930.0,640.0,307.55509065550905,2046.8394668795768,0.0,48245.0,220517.0,74.0,717.0,5.702605570530099,19.302648326422204,0.0,138.0,6347.0,0.0,1113.0,0.09504342617550164,0.3217108054403701,0.0,2.3,105.78333333333333,0.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,4.367185937105163,14.790649258923166,0.0,104.23046875,4860.677947998047,0.0,1113.0,0.07278643228508605,0.24651082098205263,0.0,1.7371744791666666,81.01129913330078,0.0,1113.0,0.18864343793994118,0.6739905662583474,0.0,5.2099456787109375,209.96014642715454,0.0,1113.0
id01,2024-07-04,1214.0,216.0,276.0,0.0,1143.0,0.0,21.0,0.0,10.0,10,7200,720,7.0,58.0,434.0,62.0,9.933844011142062,17.0,14265.0,1436.0,535.4166666666666,2402.6604819675185,0.0,21049.0,77100.0,36.5,144,932.0,448.0,4.3977272727272725,11.0,387.0,88.0,9.271929824561404,30.0,1057.0,114.0,50.55238095238095,60.0,10616.0,210.0,803.1950934579439,3663.7708792255644,0.0,60825.0,687535.0,28.0,856.0,0.7263406940063092,6.357045586423084,0.0,103.0,921.0,0.0,1268.0,0.012105678233438485,0.10595075977371822,0.0,1.7166666666666666,15.35,0.0,1268.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0,0.5647093700685711,4.9944529272146605,0.0,83.26000213623047,716.0514812469482,0.0,1268.0,0.009411822834476186,0.08324088212024428,0.0,1.3876667022705078,11.934191354115804,0.0,1268.0,0.02078870578143123,0.19075423501137653,0.0,3.3400039672851562,26.360078930854797,0.0,1268.0
id01,2024-07-05,1124.0,250.0,168.0,0.0,1205.0,0.0,67.0,0.0,10.0,10,7200,720,17.303030303030305,36.0,571.0,33.0,8.73453787352328,19.0,12569.0,1439.0,253.35416666666666,608.5339538509829,0.0,6745.0,36483.0,117.0,144,1083.0,347.0,4.746835443037975,12.0,375.0,79.0,8.690265486725664,64.0,982.0,113.0,36.65619546247819,60.0,21004.0,573.0,333.5728587319244,2135.568357968557,0.0,51287.0,299882.0,28.0,899.0,4.084172661870504,17.394527407442432,0.0,118.0,5677.0,0.0,1390.0,0.06806954436450839,0.2899087901240405,0.0,1.9666666666666666,94.61666666666666,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,3.1333271273606114,13.35648237807733,0.0,94.79006958007812,4355.32470703125,0.0,1390.0,0.052222118789343526,0.22260803963462208,0.0,1.5798344930013022,72.5887451171875,0.0,1390.0,0.14056050432242936,0.6266623063909593,0.0,5.530011177062988,195.3791010081768,0.0,1390.0
