sensor,path,row_count,subject_col,timestamp_col,n_subject,date_min,date_max,status,message,daily_feature_count,timeblock_feature_count,priority,value_cols_joined
mACStatus,C:\01_ETRI\data\ch2025_data_items\ch2025_mACStatus.parquet,939896,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,7,42,medium,m_charging
mActivity,C:\01_ETRI\data\ch2025_data_items\ch2025_mActivity.parquet,961062,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,high,m_activity
mAmbience,C:\01_ETRI\data\ch2025_data_items\ch2025_mAmbience.parquet,476577,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,low,m_ambience
mBle,C:\01_ETRI\data\ch2025_data_items\ch2025_mBle.parquet,21830,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,low,m_ble
mGps,C:\01_ETRI\data\ch2025_data_items\ch2025_mGps.parquet,800611,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,low,m_gps
mLight,C:\01_ETRI\data\ch2025_data_items\ch2025_mLight.parquet,96258,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,high,m_light
mScreenStatus,C:\01_ETRI\data\ch2025_data_items\ch2025_mScreenStatus.parquet,939653,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,7,42,medium,m_screen_use
mUsageStats,C:\01_ETRI\data\ch2025_data_items\ch2025_mUsageStats.parquet,45197,subject_id,timestamp,10,2024-06-09,2024-11-19,processed,,15,90,high,m_usage_stats
mWifi,C:\01_ETRI\data\ch2025_data_items\ch2025_mWifi.parquet,76336,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,low,m_wifi
wHr,C:\01_ETRI\data\ch2025_data_items\ch2025_wHr.parquet,382918,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,high,heart_rate
wLight,C:\01_ETRI\data\ch2025_data_items\ch2025_wLight.parquet,633741,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,15,90,high,w_light
wPedo,C:\01_ETRI\data\ch2025_data_items\ch2025_wPedo.parquet,748100,subject_id,timestamp,10,2024-06-03,2024-11-19,processed,,99,594,high,"burned_calories,distance,speed,step,step_frequency,running_step,walking_step"
