feature,nonmissing_ratio,zero_ratio,feature_type,semantic_group
mACStatus_00_04_row_count,1.0,0.027142857142857142,coverage_proxy,charging
mACStatus_04_08_row_count,1.0,0.03857142857142857,coverage_proxy,charging
mACStatus_08_12_row_count,1.0,0.018571428571428572,coverage_proxy,charging
mACStatus_12_16_row_count,1.0,0.01,coverage_proxy,charging
mACStatus_m_charging_12_16_nonnull_count,0.99,0.0,coverage_proxy,charging
mACStatus_m_charging_12_16_unique_count,0.99,0.0,coverage_proxy,charging
mACStatus_m_charging_12_16_value_0_count,0.99,0.0014285714285714286,actual_behavior,charging
mACStatus_m_charging_12_16_value_1_count,0.99,0.33,actual_behavior,charging
mACStatus_m_charging_12_16_value_0_ratio,0.99,0.0014285714285714286,actual_behavior,charging
mACStatus_m_charging_12_16_value_1_ratio,0.99,0.33,actual_behavior,charging
mACStatus_16_20_row_count,1.0,0.011428571428571429,coverage_proxy,charging
mACStatus_m_charging_16_20_nonnull_count,0.9885714285714285,0.0,coverage_proxy,charging
mACStatus_m_charging_16_20_unique_count,0.9885714285714285,0.0,coverage_proxy,charging
mACStatus_m_charging_16_20_value_0_count,0.9885714285714285,0.007142857142857143,actual_behavior,charging
mACStatus_m_charging_16_20_value_1_count,0.9885714285714285,0.2785714285714286,actual_behavior,charging
mACStatus_m_charging_16_20_value_0_ratio,0.9885714285714285,0.007142857142857143,actual_behavior,charging
mACStatus_m_charging_16_20_value_1_ratio,0.9885714285714285,0.2785714285714286,actual_behavior,charging
mACStatus_20_24_row_count,1.0,0.011428571428571429,coverage_proxy,charging
mACStatus_m_charging_20_24_nonnull_count,0.9885714285714285,0.0,coverage_proxy,charging
mACStatus_m_charging_20_24_unique_count,0.9885714285714285,0.0,coverage_proxy,charging
mACStatus_m_charging_20_24_value_0_count,0.9885714285714285,0.014285714285714285,actual_behavior,charging
mACStatus_m_charging_20_24_value_1_count,0.9885714285714285,0.27714285714285714,actual_behavior,charging
mACStatus_m_charging_20_24_value_0_ratio,0.9885714285714285,0.014285714285714285,actual_behavior,charging
mACStatus_m_charging_20_24_value_1_ratio,0.9885714285714285,0.27714285714285714,actual_behavior,charging
mACStatus_m_charging_00_04_nonnull_count,0.9728571428571429,0.0,coverage_proxy,charging
mACStatus_m_charging_00_04_unique_count,0.9728571428571429,0.0,coverage_proxy,charging
mACStatus_m_charging_00_04_value_0_count,0.9728571428571429,0.15,actual_behavior,charging
mACStatus_m_charging_00_04_value_1_count,0.9728571428571429,0.37142857142857144,actual_behavior,charging
mACStatus_m_charging_00_04_value_0_ratio,0.9728571428571429,0.15,actual_behavior,charging
