target,class,bin,bin_min,bin_max,n,pred_mean,true_rate,abs_gap
Q1,0,1,0.0,0.1,6,0.0878572463989258,0.3333333333333333,0.24547608693440753
Q1,0,2,0.1,0.2,7,0.16003858191626413,0.14285714285714285,0.017181439059121284
Q1,0,3,0.2,0.30000000000000004,9,0.28405014011594987,0.1111111111111111,0.17293902900483876
Q1,0,4,0.30000000000000004,0.4,71,0.3449848017222445,0.4225352112676056,0.07755040954536113
Q1,0,5,0.4,0.5,192,0.4544406592225035,0.4791666666666667,0.0247260074441632
Q1,0,6,0.5,0.6000000000000001,96,0.5453334034730991,0.5416666666666666,0.00366673680643248
Q1,0,7,0.6000000000000001,0.7000000000000001,37,0.6598409680095879,0.5675675675675675,0.09227340044202037
Q1,0,8,0.7000000000000001,0.8,28,0.7387929468282631,0.8571428571428571,0.11834991031459396
Q1,0,9,0.8,0.9,3,0.852295329173406,1.0,0.147704670826594
Q1,0,10,0.9,1.0,1,0.9008108228445054,1.0,0.09918917715549458
Q1,1,1,0.0,0.1,1,0.0991891771554946,0.0,0.0991891771554946
Q1,1,2,0.1,0.2,3,0.147704670826594,0.0,0.147704670826594
Q1,1,3,0.2,0.30000000000000004,28,0.26120705317173687,0.14285714285714285,0.11834991031459402
Q1,1,4,0.30000000000000004,0.4,37,0.34015903199041214,0.43243243243243246,0.09227340044202031
Q1,1,5,0.4,0.5,96,0.45466659652690095,0.4583333333333333,0.003666736806432369
Q1,1,6,0.5,0.6000000000000001,192,0.5455593407774965,0.5208333333333334,0.02472600744416309
Q1,1,7,0.6000000000000001,0.7000000000000001,71,0.6550151982777556,0.5774647887323944,0.07755040954536119
Q1,1,8,0.7000000000000001,0.8,9,0.7159498598840501,0.8888888888888888,0.1729390290048387
Q1,1,9,0.8,0.9,7,0.8399614180837359,0.8571428571428571,0.017181439059121173
Q1,1,10,0.9,1.0,6,0.9121427536010742,0.6666666666666666,0.2454760869344076
Q2,0,2,0.1,0.2,7,0.11379842247281756,0.2857142857142857,0.17191586324146813
Q2,0,3,0.2,0.30000000000000004,15,0.2794095277786255,0.4,0.12059047222137453
Q2,0,4,0.30000000000000004,0.4,100,0.3553461331129074,0.27,0.0853461331129074
Q2,0,5,0.4,0.5,217,0.45574737391713577,0.576036866359447,0.12028949244231119
Q2,0,6,0.5,0.6000000000000001,108,0.5287229278021388,0.32407407407407407,0.20464885372806474
Q2,0,7,0.6000000000000001,0.7000000000000001,3,0.6549820701281229,0.6666666666666666,0.011684596538543701
Q2,1,4,0.30000000000000004,0.4,3,0.345017929871877,0.3333333333333333,0.011684596538543701
Q2,1,5,0.4,0.5,108,0.47127707219786114,0.6759259259259259,0.2046488537280648
Q2,1,6,0.5,0.6000000000000001,217,0.5442526260828642,0.423963133640553,0.12028949244231119
Q2,1,7,0.6000000000000001,0.7000000000000001,100,0.6446538668870926,0.73,0.0853461331129074
Q2,1,8,0.7000000000000001,0.8,15,0.7205904722213745,0.6,0.12059047222137453
Q2,1,9,0.8,0.9,7,0.8862015775271824,0.7142857142857143,0.17191586324146813
Q3,0,2,0.1,0.2,27,0.14903725076604774,0.2222222222222222,0.07318497145617447
Q3,0,3,0.2,0.30000000000000004,79,0.23549907946888404,0.25316455696202533,0.01766547749314129
Q3,0,4,0.30000000000000004,0.4,87,0.3565460443496704,0.42528735632183906,0.06874131197216865
Q3,0,5,0.4,0.5,194,0.4463110200523101,0.4793814432989691,0.033070423246658986
Q3,0,6,0.5,0.6000000000000001,55,0.5473885297775268,0.43636363636363634,0.11102489341389049
Q3,0,7,0.6000000000000001,0.7000000000000001,8,0.6138411574065685,0.0,0.6138411574065685
Q3,1,4,0.30000000000000004,0.4,8,0.3861588425934315,1.0,0.6138411574065685
Q3,1,5,0.4,0.5,55,0.45261147022247317,0.5636363636363636,0.11102489341389044
Q3,1,6,0.5,0.6000000000000001,194,0.5536889799476898,0.520618556701031,0.033070423246658875
Q3,1,7,0.6000000000000001,0.7000000000000001,87,0.6434539556503296,0.5747126436781609,0.0687413119721687
Q3,1,8,0.7000000000000001,0.8,79,0.764500920531116,0.7468354430379747,0.01766547749314129
Q3,1,9,0.8,0.9,27,0.8509627492339523,0.7777777777777778,0.07318497145617453
S1,0,1,0.0,0.1,64,0.07049866020679474,0.078125,0.007626339793205261
S1,0,2,0.1,0.2,44,0.14242099631916394,0.1590909090909091,0.01666991277174515
S1,0,3,0.2,0.30000000000000004,80,0.2575434811413288,0.325,0.06745651885867121
S1,0,4,0.30000000000000004,0.4,108,0.35581094799218355,0.3148148148148148,0.04099613317736872
S1,0,5,0.4,0.5,127,0.4565116856980512,0.4566929133858268,0.00018122768777562026
S1,0,6,0.5,0.6000000000000001,27,0.5172005571700908,0.48148148148148145,0.03571907568860938
S1,1,5,0.4,0.5,27,0.48279944282990916,0.5185185185185185,0.035719075688609325
S1,1,6,0.5,0.6000000000000001,127,0.5434883143019489,0.5433070866141733,0.00018122768777562026
S1,1,7,0.6000000000000001,0.7000000000000001,108,0.6441890520078165,0.6851851851851852,0.04099613317736872
S1,1,8,0.7000000000000001,0.8,80,0.7424565188586711,0.675,0.0674565188586711
S1,1,9,0.8,0.9,44,0.8575790036808361,0.8409090909090909,0.01666991277174512
