subject_id,target,logloss,n
id01,Q1,0.7271115986697756,41
id02,Q1,0.6921612265187695,48
id03,Q1,0.5186105262520282,33
id04,Q1,0.7372283067326058,57
id05,Q1,0.676321565492975,44
id06,Q1,0.454720959308554,48
id07,Q1,0.6900576131236339,49
id08,Q1,0.7132573091427954,56
id09,Q1,0.7363474844918508,41
id10,Q1,0.7024675620108486,33
id01,Q2,0.7228598511880702,41
id02,Q2,0.6586973625907387,48
id03,Q2,0.5546051655660299,33
id04,Q2,0.680829862727591,57
id05,Q2,0.7255209691401169,44
id06,Q2,0.7265716598427369,48
id07,Q2,0.6950955672116963,49
id08,Q2,0.604835155668003,56
id09,Q2,0.7753265813211927,41
id10,Q2,0.7327746691751436,33
id01,Q3,0.6840759372365801,41
id02,Q3,0.5631376659177535,48
id03,Q3,0.6047218117985507,33
id04,Q3,0.5571084322545158,57
id05,Q3,0.6362511036300682,44
id06,Q3,0.7793590827808051,48
id07,Q3,0.7010940885115987,49
id08,Q3,0.7218582686214884,56
id09,Q3,0.7389999112842746,41
id10,Q3,0.7016968182258883,33
id01,S1,0.6894705800770096,41
id02,S1,0.36589836276221277,48
id03,S1,0.5221396742327938,33
id04,S1,0.6003182778453452,57
id05,S1,0.7089185277526464,44
id06,S1,0.28329061321073495,48
id07,S1,0.5555662415459525,49
id08,S1,0.7249009580327381,56
id09,S1,0.7183373187286454,41
id10,S1,0.7019126619585208,33
id01,S2,0.7127718776680612,41
id02,S2,0.2499074842319633,48
id03,S2,0.7021335888643743,33
id04,S2,0.63081626059121,57
id05,S2,0.6278614054455193,44
id06,S2,0.2365551773488717,48
id07,S2,0.6439714658121845,49
id08,S2,0.6919720874515009,56
id09,S2,0.6065345053396825,41
id10,S2,0.694217815859238,33
id01,S3,0.535599592532365,41
id02,S3,0.376209178541793,48
id03,S3,0.7027542422740322,33
id04,S3,0.71828708646486,57
id05,S3,0.5646292538914008,44
id06,S3,0.14239277801217928,48
id07,S3,0.5227255509752589,49
id08,S3,0.6538499516349715,56
id09,S3,0.620032808503892,41
id10,S3,0.7008972609683218,33
id01,S4,0.704159620973618,41
id02,S4,0.5730361927263926,48
id03,S4,0.48443742612278345,33
id04,S4,0.6939800504536856,57
id05,S4,0.6901395422921343,44
id06,S4,0.4229559279499809,48
id07,S4,0.7113449154285055,49
id08,S4,0.7110838193360441,56
id09,S4,0.7030098191725793,41
id10,S4,0.6744878629281923,33
